"Path","Model","SourceStem","Case","Feature","PlanPath","MethodName","Status","TotalSteps","ExecutedSteps","FailedStepSeq","FailedTool","LocatorFailures","Notes"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_4/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_4/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_5/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_5/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_5/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_6/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_6/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_6/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_7/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_7/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_7/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_8/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_8/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_8/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_9/case-001/LoginTest.playwright-plan.json","testNormalLogin","fail","8","8","8","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_9/case-001/LoginTest.playwright-plan.json","testLoginWithMFA","fail","11","11","11","browser_verify_text_visible","","テキストが見つかりません: dashboard"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_9/case-001/LoginTest.playwright-plan.json","testLoginWithFailedAttempts","fail","9","8","8","browser_verify_text_visible","","テキストが見つかりません: 認証失敗（残り1回）"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_1\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_1","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_1/case-001/AuditLogTest.playwright-plan.json","testAdminAuditLog","fail","9","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""admin"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_1\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_1","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_1/case-001/AuditLogTest.playwright-plan.json","testCustomerAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""customer"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_1\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_1","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_1/case-001/AuditLogTest.playwright-plan.json","testAuditorAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""auditor"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_10\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_10","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_10/case-001/AuditLogTest.playwright-plan.json","testAdminAuditLog","fail","9","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""admin"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_10\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_10","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_10/case-001/AuditLogTest.playwright-plan.json","testCustomerAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""customer"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_10\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_10","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_10/case-001/AuditLogTest.playwright-plan.json","testAuditorAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""auditor"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_2\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_2","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_2/case-001/AuditLogTest.playwright-plan.json","testAdminAuditLog","fail","9","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""admin"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_2\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_2","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_2/case-001/AuditLogTest.playwright-plan.json","testCustomerAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""customer"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_2\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_2","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_2/case-001/AuditLogTest.playwright-plan.json","testAuditorAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""auditor"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_3\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_3","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_3/case-001/AuditLogTest.playwright-plan.json","testAdminAuditLog","fail","9","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""admin"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_3\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_3","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_3/case-001/AuditLogTest.playwright-plan.json","testCustomerAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""customer"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_3\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_3","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_3/case-001/AuditLogTest.playwright-plan.json","testAuditorAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""auditor"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_4\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_4","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_4/case-001/AuditLogTest.playwright-plan.json","testAdminAuditLog","fail","9","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""admin"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_4\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_4","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_4/case-001/AuditLogTest.playwright-plan.json","testCustomerAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""customer"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_4\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_4","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_4/case-001/AuditLogTest.playwright-plan.json","testAuditorAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""auditor"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_5\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_5","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_5/case-001/AuditLogTest.playwright-plan.json","testAdminAuditLog","fail","9","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""admin"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_5\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_5","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_5/case-001/AuditLogTest.playwright-plan.json","testCustomerAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""customer"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_5\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_5","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_5/case-001/AuditLogTest.playwright-plan.json","testAuditorAuditLog","fail","8","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""auditor"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_6\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_6","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_6/case-001/AuditLogTest.playwright-plan.json","testAdminAuditLog","fail","9","6","6","browser_fill_form","","ステップ実行エラー: locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element
Call log:
[2m  - waiting for getByLabel('役割').first()[22m
[2m    - locator resolved to <select id=""role"">…</select>[22m
[2m    - fill(""admin"")[22m
[2m  - attempting fill action[22m
[2m    - waiting for element to be visible, enabled and editable[22m
"
